2;Как раз по теме развития малышей!! Хотела бы порекомендовать интересные раскраски для детей! Вообще люблю сама когда мой ребенок рисует это же хорошо развивает моторику рук,внимание,усидчивость,помогает в изучении цветов!Любой вид рисования,будь то краски,фломастеры,карандаши. Хочу поделится ссылкой на новогодние раскраски. Сейчас как раз сезон и дети будут довольны!;
2;"Я считаю, что многим родителям полезно узнать о проблематике людей, которым в детстве не повезло с родителями. Просто чтобы задумались, хотят ли они этого для своих детей. Так получилось, что оба моих родителя - невротики, а как пишут в книгах """"У родителей-невротиков дети обязательно невротики"""". Этого не избежал и я...Многие родители считают, что знают много. Некоторые считают, что знать ничего не надо, представляя что ребенок - это что-то вроде флешки, которую можно будет лет в 17 перезаписать с """"правильными"""" характеристиками. Ему же потом идти искать работу... Реальность науки, однако, другая. Сам помню как ходил искал работу и конкурировать нужно было с теми, кого ... любили родители. Так что если кто-то считает что знает очень много, то давайте я дам некоторые факты и задам вопросы, а потом сам на них отвечу, а вы сравните - знали ли вы ЧТО:- Фрейд считал, что человек формируется в первые 6 лет и потом живет по этим шаблонам всю жизнь. Самотерапию Фрейд отрицал. Его ученик Эрик Берн все это только подтверждал, в его бестселлерах Игры часто используется слово """"неудачник"""". Кто он? Это почти база психоанализа, а потом и психотерапии. Наш отечественный психотерапевт Михаил Литвак только подтверждает эти тезисы.- сколько стоят услуги хорошего психотерапевта? В среднем в пять раз дороже чем репетитора английского. Эта проблема была всегда еще со времен Фрейда, то что психоанализ покрывал только незначительную часть людей, сами понимаете что богатеньких. В современных условиях мы пришли в ту же ситуацию, когда сотни тысяч и миллионы нуждающихся просто отрезаны от помощи.- знали ли вы, что огромное количество книг по популярной психологии типа как стать богатым, успешным - это просто фейк?Наш отечественный преподаватель Степанов С.С. даже написал книгу """"Мифы и тупики поп-психологии"""". Я сам попал в 90-е на этот карнавал фейка, не разобрался и ушел в эзотерику. Хотите такого для своего ребенка? Просто вы можете и сами думать, что """"потом куплю ему книжку как стать богатым"""" и вперед. Это все ненаучно, просто многие автора воспользовались отсутствием самотерапий и в погоне за наживой взялись за перо...- кто такой """"одаренный ребенок"""" в книге Алис Миллер """"Драма одаренного ребенка""""?А это самый обыкновенный ребенок, любой ребенок. В чем Драма? В том, что не повезло с родителями. Одним везет, другим - нет. В этом их Драма.- зачем некоторые наши продвинутые родители читают книги по воспитанию детей, написанные ... протестантскими священниками? Там ведь даже названия необычные вроде """"Как стать пастором своему ребенку""""Читают потому что протестанты тему воспитания прокачивают уже столетия. США - страна протестантской морали, я знаю, что наши советские корректоры хорошо постарались подредактировать книгу """"Хижина Дяди Тома"""". Они удалили одну часть, где протестантка учила негров работать... Но легче популярно ознакомиться с """"что там у них в головах"""" по детской книжке """"Швейцарская семья Робинзонов"""". Как отец воспитывает детей. Воспитывает чтобы они поднялись, потому что у них успех отца оценивается по успехам детей. В этой книге его взрослые сыновья преуспевают, он горд, так как выполнил свою Работу. Мой отец - нет, он нарцисс, большой ребенок, жил для себя. А у протестантов важно вырастить Мужчину. И если не получается, то это харктеристика папке. Например, в пьесе """"Смерть коммивояжера"""" Артура Миллера главный герой кончает жизнь самоубийством когда понимает, что его сыновья стали такими же неудачниками как и он.Потому для них эта тема важна и ее прокачивают. И наши родители учатся.- знаете ли вы, что ребенок - не маленький взрослый? И что под этим подразумевается?Подразумевается то, что многие родители воспринимают детей, как некоторый вид маленьких взрослых. А это неправильный подход. Дети часто просто ничего не понимают, этот факт нужно учитывать. Про него особенно предупреждал Эрик Берн. Я в своей книги приведу пример, когда такая ситуация испортила девушке все детство.Об этом подробнее, о проблематике самотерапии, популярной психотерапии, вы узнаете если прочитаете мою книгу """"Самотерапия в психотерапии. Записки бывшего невротика"""". Это взгляд человека, которому не повезло с обоими родителями-невротиками... Просто чтобы знать... И задуматься если нужно. читать или скачать с маил.ручитать или скачать с гугл.диска";
2;"Продолжаю разбираться в теме психологии, взросления и роста. Встретил интересную и - я так подозреваю - малоизвестную книгу Джона Элдриджа """"Путь Мужчины"""".  Автор - психотерапевт, представивший свои идеи на проблематику Взросления Мужчины. Автор книги - протестант, из-за этого есть минусы и плюсы. Минус книги в том, что в ней очень много """"о Боге"""" и немного идет """"обработка"""". Однако плюс в том, что для протестантов всегда было важно Воспитать сына Мужчиной и им пришлось соображать, особенно в реальных условиях когда идет атака на мужественность современных мальчиков и будущих мужчин. Я сделал небольшую компиляцию этой книги, убрав религиозные потуги. Контент книги и идеи весьма и весьма значительны, учитывая проблематику """"незавершенных мужчин"""", одним из которых являюсь я сам. Эту компиляцию я выставлял на форуме, можете прочитать мои сообщения по стадиям возмужания: компиляция Джон Элдридж """"Путь Мужчины""""Если вы знаете какие еще другие хорошие источники по Взрослению, Росту личности - то пишите,  делитесь информацией, все очень и очень интересно. Может знаете или встречали художественные рассказы или произведения по проблематике взросления.";
2;да, я тоже обращаюсь к психологам за помощью, потому что дети растут и как вот с ними общаться, чтобы их не сломать как личность, поэтому я стараюсь ходить к психологам хорошим, я плачу им хорошие деньги за это, потому что я считаю не правильным экономить на воспитании детей , работаю сейчас здесь jozz.info и мне хватает чтобы оплачивать хорошую школу и психолога для меня.;
2;Всем привет, у меня делема, очень хочу завести зверушку для своего ребенка, нам сейчас 1 год и 3 мес, хотелось бы совета, кого лучше завести для ребенка такого возраста.   Пока все мои мысли упираются только в кота или хорька... еще кое что, я сейчас беременна и рожу в начале июня, хотелось бы чтоб зверушка была ласковой к будущему ребенку. В общем, кого завести????;
2;Tominova, я бы посоветовала для такого малыша никого не заводить    Вам для забавы, получается?;
2;Не то,чтобы для забавы, ему очень нравятся животные, он очень аккуратно к ним относится, не тягает за хвост, а аккуратно гладит, в гостях от кошек без ума, для воспитания тоже, я сама выросла в частном доме, было куча животных, а у моего ребенка нет никого,и видя какой восторг у ребенка, хочется для него пушистого друга..........;
1;Вмка, я вас понимаю, сама люблю животных , мечтаю рыбок завести. А доча не может мимо кошек пройти, доче 2 и 5 скоро. Но я пока поврменю, ибо до 3 лет не советуют заводить животных, ибо это аллерген мощный, я про шерсть животных, да еще я боюсь, что воспримет животное как живую игрушку, и что тогда? Я не смогу морально разрывать между ними..Может летом заведу аквариум, какой мечтала  , а если доча кота поросит, то не раньше ее 5 лет...Чтобы хоть какое-то сознание было, что эо живое существо...;
2;Tominova, Вот уж точно не для ребёнка вы заведёте животное.Нам 2.5 и у нас есть собака.Ребёнку собака только поиграть и только когда он хочет и не часто.Так с собакой хоть побегать,мяч покидать -позабирать можно,но проблема с прогулкими.А кот,неизвестно какого характера будет,хорошо,если покладистый,но в любом случае наступает момент,когда и самые смирные животные фыркают,царапают,прикусывают.Уход за любым животным нужен.А вам и так есть за кем ухаживать,ещё и в июне прибавится забот,так что отложите -ка вы пока приобретение зверюшки на более подходящее время,кгда помощники подрастут;
2;мы в 1,5 завели рыбку, одну, петушка. Доча с удовольствием помогает менять воду, мыть камушки, и из стакана выпускать нашего Петю в чистый аквас, это прям обязанность её, иногда кормит вместе со мной его. Ей нравится. А хомяков, кошек и собак и бы ране 5 лет не заводила, это не игрушка, дети быстро к ним остывают и все зверьё на маме. В гостях восторг от кошки, а дома каждый день она успеет наскучить. А еще попугай у нас. К нему доча без особых эмоций, но он уже 11 лет у меня, она с утробы к его крикам привыкла.;
